"diameter","albedo","spkid","full_name","pha","H","e","a","q","i","n","per","per_y","moid","class"
,,3879542,"       (2019 UG5)",N,22.04,0.4428,1.869,1.042,17.23,0.3856,934,2.56,0.0841,AMO
,,3879544,"       (2019 UH5)",N,27.30,0.2545,1.352,1.008,2.29,0.6272,574,1.57,0.0333,APO
,,3879545,"       (2019 UK5)",N,26.20,0.3343,1.302,0.867,11.49,0.6637,542,1.49,0.0333,APO
,,3879546,"       (2019 UL5)",N,27.66,0.2162,1.261,0.988,7.95,0.6962,517,1.42,0.00821,APO
,,3879547,"       (2019 UO5)",N,25.60,0.1405,0.9163,0.788,20.41,1.124,320,0.877,0.0489,ATE
,,3879548,"       (2019 UP5)",N,22.41,0.5264,2.233,1.057,9.33,0.2954,1.22e+03,3.34,0.0748,AMO
,,3879549,"       (2019 UQ5)",N,24.88,0.1430,1.215,1.041,25.54,0.7362,489,1.34,0.0726,AMO
,,3879550,"       (2019 US5)",N,21.70,0.7050,2.077,0.613,8.82,0.3292,1.09e+03,2.99,0.144,APO
,,3879551,"       (2019 UT5)",N,28.40,0.6422,2.369,0.848,4.71,0.2703,1.33e+03,3.65,0.00239,APO
,,3879552,"       (2019 UU5)",N,25.30,0.4066,1.716,1.018,9.36,0.4386,821,2.25,0.0312,AMO
,,3879553,"       (2019 UV5)",N,25.69,0.1767,1.189,0.979,21.62,0.7598,474,1.3,0.0852,APO
,,3879712,"       (2019 UW5)",N,19.32,0.4974,2.576,1.295,7.49,0.2384,1.51e+03,4.13,0.3,AMO
,,3879715,"       (2019 UZ5)",N,24.40,0.7462,2.168,0.550,6.90,0.3088,1.17e+03,3.19,0.0652,APO
,,3879713,"       (2019 UA6)",N,20.89,0.1692,1.551,1.289,9.12,0.5102,706,1.93,0.345,AMO
,,3879714,"       (2019 UB6)",N,28.40,0.2646,1.048,0.771,4.22,0.9187,392,1.07,0.00202,APO
,,3879716,"       (2019 UC6)",N,25.20,0.4598,1.734,0.937,29.89,0.4316,834,2.28,0.053,APO
,,3879717,"       (2019 UH6)",N,24.70,0.4020,1.635,0.978,2.12,0.4713,764,2.09,0.00318,APO
,,3879720,"       (2019 UJ6)",N,26.10,0.1980,1.22,0.978,13.08,0.7315,492,1.35,0.00565,APO
,,3879719,"       (2019 UK6)",N,23.59,0.5733,2.391,1.020,5.35,0.2666,1.35e+03,3.7,0.038,AMO
,,3879721,"       (2019 UL6)",N,25.00,0.5450,2.358,1.073,9.97,0.2721,1.32e+03,3.62,0.11,AMO
,,3879718,"       (2019 UM6)",N,22.66,0.2705,1.762,1.285,17.42,0.4215,854,2.34,0.307,AMO
,,3879723,"       (2019 UQ6)",N,25.72,0.3502,1.113,0.723,2.09,0.8392,429,1.17,0.0192,APO
,,3879722,"       (2019 UR6)",N,26.43,0.2574,1.422,1.056,4.95,0.5809,620,1.7,0.0587,AMO
,,3879724,"       (2019 US6)",N,20.60,0.5204,2.667,1.279,12.13,0.2263,1.59e+03,4.36,0.309,AMO
,,3879725,"       (2019 UT6)",Y,21.93,0.5049,1.589,0.787,2.40,0.4918,732,2,0.0155,APO
,,3879726,"       (2019 UU6)",N,23.60,0.2033,1.155,0.920,40.40,0.7943,453,1.24,0.0867,APO
,,3879729,"       (2019 UV6)",N,22.88,0.6080,2.373,0.930,0.99,0.2697,1.33e+03,3.65,0.00706,APO
,,3879728,"       (2019 UW6)",N,26.60,0.3877,1.592,0.975,16.65,0.4906,734,2.01,0.0198,APO
,,3879727,"       (2019 UX6)",N,26.90,0.1980,1.265,1.014,6.91,0.6928,520,1.42,0.0208,APO
,,3879731,"       (2019 UY6)",N,26.60,0.6489,2.26,0.794,0.77,0.29,1.24e+03,3.4,0.00599,APO
,,3879732,"       (2019 UB7)",N,24.08,0.6580,2.041,0.698,2.07,0.3379,1.07e+03,2.92,0.0346,APO
,,3879730,"       (2019 UC7)",N,23.52,0.1741,1.2,0.991,19.20,0.7495,480,1.32,0.128,APO
,,3883086,"       (2019 UD7)",N,28.10,0.5110,1.54,0.753,2.70,0.5155,698,1.91,0.0049,APO
,,3883087,"       (2019 UE7)",N,22.40,0.7005,2.174,0.651,6.92,0.3076,1.17e+03,3.2,0.037,APO
,,3883089,"       (2019 UF7)",N,24.60,0.2997,1.239,0.868,5.85,0.7148,504,1.38,0.0233,APO
,,3883088,"       (2019 UG7)",N,21.61,0.5958,2.963,1.198,6.05,0.1932,1.86e+03,5.1,0.234,AMO
,,3883085,"       (2019 UH7)",N,27.46,0.3700,1.592,1.003,6.22,0.4907,734,2.01,0.0245,APO
,,3883084,"       (2019 UJ7)",N,24.60,0.3346,1.691,1.125,8.50,0.4482,803,2.2,0.137,AMO
,,3883091,"       (2019 UO7)",N,27.60,0.2368,1.263,0.964,0.66,0.6942,519,1.42,0.00991,APO
,,3883092,"       (2019 UP7)",N,25.60,0.4999,1.858,0.929,5.48,0.3892,925,2.53,0.0395,APO
,,3883090,"       (2019 UQ7)",N,22.31,0.6604,2.755,0.936,28.83,0.2155,1.67e+03,4.57,0.00675,APO
,,3883093,"       (2019 UR7)",N,23.70,0.5473,2.416,1.094,4.87,0.2624,1.37e+03,3.76,0.0973,AMO
,,3883094,"       (2019 UT7)",N,26.80,0.5984,2.423,0.973,5.91,0.2614,1.38e+03,3.77,0.00654,APO
,,3883096,"       (2019 UU7)",N,26.03,0.3174,0.8089,0.552,0.88,1.355,266,0.728,0.0118,ATE
,,3883098,"       (2019 UV7)",N,21.73,0.2939,1.805,1.274,32.17,0.4065,886,2.42,0.283,AMO
,,3883099,"       (2019 UW7)",N,27.30,0.5613,2.187,0.959,5.97,0.3047,1.18e+03,3.23,0.0029,APO
,,3883097,"       (2019 UX7)",N,24.36,0.2466,1.335,1.006,5.93,0.639,563,1.54,0.0626,APO
,,3883100,"       (2019 UY7)",N,27.40,0.3345,1.158,0.770,9.74,0.7912,455,1.25,0.00183,APO
,,3883101,"       (2019 UZ7)",N,21.13,0.7397,1.402,0.365,35.94,0.5939,606,1.66,0.225,APO
,,3883102,"       (2019 UA8)",N,22.53,0.5048,2.507,1.241,8.32,0.2483,1.45e+03,3.97,0.254,AMO
,,3883103,"       (2019 UB8)",N,29.00,0.4482,1.533,0.846,0.21,0.5192,693,1.9,0.00115,APO
,,3883104,"       (2019 UC8)",N,26.17,0.3192,1.592,1.084,14.05,0.4905,734,2.01,0.0928,AMO
,,3883106,"       (2019 UD8)",N,23.18,0.4793,2.073,1.079,3.57,0.3303,1.09e+03,2.98,0.109,AMO
,,3883105,"       (2019 UE8)",N,25.70,0.4315,1.724,0.980,0.38,0.4356,827,2.26,0.00591,APO
,,3883113,"       (2019 UH8)",N,24.40,0.6220,2.406,0.910,4.30,0.264,1.36e+03,3.73,0.0047,APO
,,3883112,"       (2019 UJ8)",N,24.80,0.6114,2.804,1.090,6.49,0.2099,1.72e+03,4.7,0.101,AMO
,,3883111,"       (2019 UK8)",N,24.88,0.3928,1.536,0.933,2.86,0.5176,695,1.9,0.0348,APO
,,3883108,"       (2019 UL8)",N,26.34,0.4846,1.495,0.771,0.79,0.5392,668,1.83,0.00125,APO
,,3883107,"       (2019 UM8)",N,28.40,0.2540,1.244,0.928,7.85,0.7106,507,1.39,0.014,APO
,,3883110,"       (2019 UN8)",N,29.70,0.7240,2.58,0.712,0.35,0.2378,1.51e+03,4.14,0.00122,APO
,,3883109,"       (2019 UO8)",N,29.30,0.7791,2.191,0.484,0.32,0.304,1.18e+03,3.24,0.000872,APO
,,3883114,"       (2019 UP8)",N,27.10,0.4900,1.845,0.941,7.84,0.3932,915,2.51,0.00722,APO
